Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
RPL23A,ENSG00000198242,0.00245133092265049,0.00233079005059555,0.00532534980796062,-0.0200498988894772,missense|LC,17028714989,17,28714989,
TENT5D,ENSG00000174016,0.00246516978321254,0.352369755054093,0.00167585544514381,0.00259153773063902,missense|LC,23080442515,X,80442515,
KLHL3,ENSG00000146021,0.00251678668445143,0.00164808060767596,0.0269417738235616,-0.0130555540608017,missense|LC,5137622019,5,137622019,
GALNT15,ENSG00000131386,0.00255480480909509,0.00175393794264123,0.0295408926752321,0.00870181482317327,missense|LC,3016175069,3,16175069,
PDCL3,ENSG00000115539,0.00259162660613588,0.00172690712707335,0.00568958287972821,0.00739160817477159,missense|LC,2100562945,2,100562945,
GUCA1A,ENSG00000048545,0.00267970489675662,0.01077883980351,0.00196084090979354,0.00855647399124748,missense|LC,6042173565,6,42173565,
SLC16A10,ENSG00000112394,0.00275523346321305,0.0219079847939141,0.00193692919806598,-0.00668689927151734,missense|LC,6111087698,6,111087698,
DENND6A,ENSG00000174839,0.00291190250773554,0.0254449026280227,0.00185719609068768,-0.00577084599153355,missense|LC,3057628087,3,57628087,
PLCB3,ENSG00000149782,0.00291272657657826,0.0302149149394727,0.00149588299781733,0.00358351398578448,missense|LC,11064246530,11,64246530,
NOL7,ENSG00000225921,0.00292445836044197,0.0195006733914239,0.00216630866922263,0.00731813504970017,missense|LC,6013611748,6,13611748,
CST4,ENSG00000101441,0.002972055092333,0.00152910903507331,0.0473159485097185,0.0120948138554268,missense|LC,20023685810,20,23685810,
TCP11,ENSG00000124678,0.00297340267420454,0.0019476792103712,0.00423444077321555,0.00422834144936433,missense|LC,6035117165,6,35117165,
TENT2,ENSG00000164329,0.00300437328521186,0.00169138857884898,0.0479757913945381,0.00827694503161173,missense|LC,5079619558,5,79619558,
UBE2I,ENSG00000103275,0.00302531251853499,0.00542795534142126,0.00656351671123456,0.0599083422471961,missense|LC,16001313952,16,1313952,
OR4Q3,ENSG00000182652,0.00306007203390035,0.00217955547718041,0.0468056050737334,-0.00816236397730469,missense|LC,14019747429,14,19747429,
UBA6,ENSG00000033178,0.00325700360676473,0.0256225748949288,0.00203185561625308,-0.00409079615685351,missense|LC,4067618919,4,67618919,
SDCBP2,ENSG00000125775,0.00331378758041334,0.0262296006555257,0.00228385024012168,0.00493464893230767,missense|LC,20001304911,20,1304911,
RTN4R,ENSG00000040608,0.00334544793479907,0.599341048981946,0.00156273580074373,0.00178901923268108,missense|LC,22020241611,22,20241611,
C1orf52,ENSG00000162642,0.00337143298939602,0.0113372537009682,0.00283055217790396,0.0142596718679665,missense|LC,1085252592,1,85252592,
CHD8,ENSG00000100888,0.00338102926555561,0.00159057938964624,0.0869015955259634,0.00506752267394612,missense|LC,14021383771,14,21383771,
PAK6,ENSG00000137843,0.00347798410863298,0.00211729252123183,0.0221753355823938,-0.00535920305688236,missense|LC,15040252191,15,40252191,
ARF4,ENSG00000168374,0.00356792135142425,0.0760706694245379,0.00170967938834188,0.0249386520925857,missense|LC,3057572166,3,57572166,
SFRP1,ENSG00000104332,0.0035725993702671,0.0123556883947593,0.00410100179341566,0.0142673370724244,missense|LC,8041265148,8,41265148,
TAF5L,ENSG00000135801,0.00358954534370859,0.00246838819791018,0.145714416434585,0.00611737034645278,missense|LC,1229594197,1,229594197,
WFS1,ENSG00000109501,0.00360341028174771,0.0458844256838122,0.00200863033698861,0.00190745140549676,missense|LC,4006277374,4,6277374,
CCDC173,ENSG00000154479,0.00361647498527917,0.448430815654815,0.00203494611104349,-0.00207067258418396,missense|LC,2169645808,2,169645808,
RCOR2,ENSG00000167771,0.00369094776665135,0.00228685606258949,0.287034503972097,0.00929551627834248,missense|LC,11063906230,11,63906230,
CEP250,ENSG00000126001,0.00379369148224373,0.119002955511984,0.00256842180457528,0.00145457482044675,missense|LC,20035462304,20,35462304,
ZNF684,ENSG00000117010,0.00393457522985474,0.00218407896826411,0.0100342269968033,0.00613816111575178,missense|LC,1040533084,1,40533084,
RHEB,ENSG00000106615,0.00396465610315921,0.0226517859011808,0.0024642394085802,0.0378499047030981,missense|LC,7151467082,7,151467082,
GTF2E2,ENSG00000197265,0.00397324276896738,0.0101957741965815,0.00283485843588316,0.00544436656884911,missense|LC,8030578931,8,30578931,
CSH2,ENSG00000213218,0.00421921909750123,0.00333109576508972,0.0068796363647089,0.0080766510458947,missense|LC,17063871986,17,63871986,
COQ10B,ENSG00000115520,0.00424625932035849,0.0658668224296752,0.00283799336125479,0.00844505998375315,missense|LC,2197453514,2,197453514,
SLC35B2,ENSG00000157593,0.0042560613119289,0.00223317000488743,0.0860892646300966,0.00761602817333082,missense|LC,6044249323,6,44249323,
EEF1AKMT2,ENSG00000203791,0.00426431639161318,0.00252240789945857,0.224321171447733,0.0108040086311718,missense|LC,10124760375,10,124760375,
LORICRIN,ENSG00000203782,0.00427175376074984,0.0139451102411041,0.00305748179850496,-0.0041684768246353,missense|LC,1153260887,1,153260887,
PPM1A,ENSG00000100614,0.00434118747508172,0.0259636607021484,0.00257121134405391,0.010523614322459,missense|LC,14060245775,14,60245775,
MTA3,ENSG00000057935,0.00436757556583411,0.00278489116671865,0.0766175801553246,-0.0073879660326725,missense|LC,2042568659,2,42568659,
LRRC3C,ENSG00000204913,0.00444318295061652,0.142470762415479,0.00272239075083403,0.00378372014467168,missense|LC,17039939282,17,39939282,
ARR3,ENSG00000120500,0.00446551526937433,0.0267623836238082,0.0028086066003401,0.00559471747461314,missense|LC,23070269291,X,70269291,
NFYB,ENSG00000120837,0.00452904565261258,0.00212888978325831,0.0772229223564267,0.0363546946178051,missense|LC,12104119692,12,104119692,
CBX4,ENSG00000141582,0.00454787589645,0.0205235590232486,0.00308663370545115,0.00480661221502912,missense|LC,17079833860,17,79833860,
PER1,ENSG00000179094,0.00455054909079278,0.034474467846271,0.00264584799577605,0.00265975418901247,missense|LC,17008140973,17,8140973,
MMACHC,ENSG00000132763,0.00457211945971925,0.0355674685484237,0.00258381216957981,0.0051086363752028,missense|LC,1045500253,1,45500253,
ISG20L2,ENSG00000143319,0.00469316048517077,0.14119361152128,0.00320377869160349,0.00404406260103252,missense|LC,1156723257,1,156723257,
KRTCAP3,ENSG00000157992,0.00470103399710842,0.0372186969888855,0.00321576849784255,0.0072331811316493,missense|LC,2027437370,2,27437370,
FASTKD1,ENSG00000138399,0.00471593338230036,0.464889450424559,0.00271996119039219,0.00167008917777426,missense|LC,2169525574,2,169525574,
U2AF2,ENSG00000063244,0.00474444374685312,0.223748407830716,0.00237213394223434,0.00955959810793417,missense|LC,19055651242,19,55651242,
IGF1R,ENSG00000140443,0.00475499907525367,0.415733405530589,0.00229496592731637,0.00127532751798695,missense|LC,15098649579,15,98649579,
EMC7,ENSG00000134153,0.00483430694494469,0.00388789748919782,0.00611362967463791,-0.00628362216041297,missense|LC,15034084227,15,34084227,
FSD2,ENSG00000186628,0.00483934342129122,0.861280549809655,0.00258631812643062,0.00034481281658558,missense|LC,15082759269,15,82759269,
NOD1,ENSG00000106100,0.00488226267221803,0.201898069436688,0.00232027510648636,-0.00209246467502631,missense|LC,7030425594,7,30425594,
PNPLA1,ENSG00000180316,0.00490340659445376,0.0977095295111164,0.00246076343977175,-0.00372964250198795,missense|LC,6036270462,6,36270462,
PDE10A,ENSG00000112541,0.00492040342976485,0.00366247313014667,0.0221948872673319,-0.00630461684970302,missense|LC,6165333019,6,165333019,
FIGN,ENSG00000182263,0.00493328835019202,0.00378420495972587,0.0150564165747604,0.00734129377346423,missense|LC,2163609490,2,163609490,
OR52E6,ENSG00000205409,0.00496018838463719,0.00486207557927987,0.00849316302645842,0.00688924678913025,missense|LC,11005840913,11,5840913,
VGLL1,ENSG00000102243,0.00499878082252081,0.00601207433511619,0.00477449086095927,0.00647085216761968,missense|LC,23136535973,X,136535973,
RAMP2,ENSG00000131477,0.00500242223936753,0.00280563369310616,0.0506948723318114,0.0291322627189118,missense|LC,17042761211,17,42761211,
PID1,ENSG00000153823,0.00503968413173783,0.00445109994288073,0.00756755414325982,0.00879627989700599,missense|LC,2229025583,2,229025583,
ATG13,ENSG00000175224,0.00506911057482529,0.00339150142986999,0.0237248501272607,-0.00588444593857452,missense|LC,11046615512,11,46615512,
TPRX1,ENSG00000178928,0.00510082026871028,0.00247773196859424,0.281444477526896,0.00728616019319412,missense|LC,19047801673,19,47801673,
IFITM5,ENSG00000206013,0.00511604400424437,0.0342919422567858,0.00317402186195126,0.0102909802695323,missense|LC,11000293198,11,293198,
WNK1,ENSG00000060237,0.00517432135843898,0.20690767424952,0.00252481584953768,0.0015897899207821,missense|LC,12000753447,12,753447,
AHR,ENSG00000106546,0.00518215981100045,0.00508557371957752,0.00969393396780882,0.0052896147246168,missense|LC,7017299165,7,17299165,
OR4X2,ENSG00000172208,0.005302136847817,0.931086055351239,0.00291811195935321,0.000214124621077611,missense|LC,11048245058,11,48245058,
IRAK1,ENSG00000184216,0.00531538765955464,0.00283299074238574,0.0159441048421755,-0.00431401737399139,missense|LC,23154011814,X,154011814,
CEP95,ENSG00000258890,0.00538779409731271,0.0037283668499577,0.0269317742582164,0.00719110740596878,missense|LC,17064501977,17,64501977,
AP001931.2,ENSG00000288534,0.00545466687168683,0.586523395659544,0.00404443915649366,-0.00142997066457671,missense|LC,11057711850,11,57711850,
CPXCR1,ENSG00000147183,0.00545937096231019,0.106734894616881,0.00332766243074967,0.00593073676290025,missense|LC,23088753418,X,88753418,
ATP13A4,ENSG00000127249,0.00547605137973517,0.0250346512793719,0.00365960604237758,0.00402361226003498,missense|LC,3193402715,3,193402715,
FAM133A,ENSG00000179083,0.00548432878621896,0.2643424253109,0.00314630230753687,0.00606536692498678,missense|LC,23093671655,X,93671655,
LIN9,ENSG00000183814,0.00548579616646694,0.0171841226874099,0.0042148141699494,-0.00520407739900336,missense|LC,1226232480,1,226232480,
IFNA5,ENSG00000147873,0.00551351998979766,0.00324565823433565,0.00807067366966563,0.00636814169480825,missense|LC,9021304587,9,21304587,
UBE3B,ENSG00000151148,0.00551659674328264,0.935787467665966,0.00260810490651586,-0.000196266293619917,missense|LC,12109477149,12,109477149,
GLI3,ENSG00000106571,0.00553064463686004,0.732320262026036,0.00291892317805598,-0.000473687514774603,missense|LC,7041964275,7,41964275,
BCL6B,ENSG00000161940,0.0056041239485779,0.00343556921016686,0.227445427251668,0.00672008493936231,missense|LC,17007023574,17,7023574,
HAND1,ENSG00000113196,0.00561349112891396,0.00394896677656942,0.178467700380904,-0.0121257207035967,missense|LC,5154475783,5,154475783,
RSPH14,ENSG00000100218,0.00564256265522067,0.00323723401675302,0.0485777227601556,0.00814792552222076,missense|LC,22023059342,22,23059342,
AGO1,ENSG00000092847,0.0056859939678171,0.00424487838423371,0.014940599487303,0.0138818718847921,missense|LC,1035882734,1,35882734,
SHLD1,ENSG00000171984,0.00571391640630892,0.0298759971083389,0.00378447305266993,0.0132529338368933,missense|LC,20005772796,20,5772796,
OR2A14,ENSG00000221938,0.00576337359249346,0.00379030894169408,0.0284920796375521,-0.00899766111268669,missense|LC,7144118797,7,144118797,
ARFIP2,ENSG00000132254,0.00585653618552218,0.411580717497214,0.00282195733806612,0.00448687075789667,missense|LC,11006477005,11,6477005,
KCTD17,ENSG00000100379,0.00585960498368465,0.0808678293630736,0.00421782671158333,0.00501964577546662,missense|LC,22037051616,22,37051616,
UBAP1L,ENSG00000246922,0.00592003081125025,0.00327514972076559,0.580340089242578,-0.00703854370818039,missense|LC,15065092975,15,65092975,
TMX2,ENSG00000213593,0.00602194576344417,0.941962257065017,0.00402694363181921,-0.0000664724092978469,missense|LC,11057711850,11,57711850,
MLIP,ENSG00000146147,0.0060496000813639,0.00310188965774472,0.282950764765005,-0.00644412052669836,missense|LC,6054111313,6,54111313,
ZNF442,ENSG00000198342,0.00607881077305794,0.0154924147541283,0.00437919268855147,0.00350241809486017,missense|LC,19012349623,19,12349623,
CRB1,ENSG00000134376,0.00611040933942619,0.0138948125319233,0.00649039043857569,-0.00439153980706137,missense|LC,1197268374,1,197268374,
SH2B3,ENSG00000111252,0.00612208609007081,0.00458021930290775,0.0180769579355751,0.00420932989542483,missense|LC,12111418065,12,111418065,
OMP,ENSG00000254550,0.00618985277938688,0.00442093906473839,0.0124271007309034,0.0109761815135294,missense|LC,11077102731,11,77102731,
SNRNP35,ENSG00000184209,0.00627240043294564,0.00442487165193417,0.0722568118574585,-0.00729835712019577,missense|LC,12123457982,12,123457982,
POLR3D,ENSG00000168495,0.00628032653376975,0.205033895034044,0.00383395102231154,0.00383620952878635,missense|LC,8022245366,8,22245366,
NKD1,ENSG00000140807,0.00634870385060593,0.00774586212795936,0.0201608422416617,0.0100151274215988,missense|LC,16050548482,16,50548482,
UBE2Q2,ENSG00000140367,0.00638855497553192,0.902974546535611,0.00336649333305161,0.000332737760121226,missense|LC,15075843586,15,75843586,
ANKDD1B,ENSG00000189045,0.00646681457438392,0.00330832707294471,0.035846828447192,0.00494325979197979,missense|LC,5075611545,5,75611545,
SLC25A5,ENSG00000005022,0.00646960534347008,0.0258409670394268,0.00506041409294511,0.0176335926135103,missense|LC,23119468473,X,119468473,
OPTN,ENSG00000123240,0.00672341917675723,0.00329814940510564,0.24101023743996,0.0127209142735136,missense|LC,10013109048,10,13109048,
SLC3A1,ENSG00000138079,0.00672524288704124,0.0244008100921898,0.00420226812701774,-0.00352518765411622,missense|LC,2044270564,2,44270564,
OR1E2,ENSG00000127780,0.00672902491464389,0.00730401178560114,0.010370707946318,-0.00722494950945566,missense|LC,17003432784,17,3432784,
CCDC17,ENSG00000159588,0.00680804251093792,0.717799951097912,0.00315258090163562,0.00109859419141098,missense|LC,1045615046,1,45615046,
MGST2,ENSG00000085871,0.00682804877832988,0.0113851217074676,0.00620861130578787,0.00649290350590112,missense|LC,4139665942,4,139665942,
MCEMP1,ENSG00000183019,0.00685035301060688,0.0699906018206498,0.00347696923578467,0.0126013703591173,missense|LC,19007677019,19,7677019,
YPEL1,ENSG00000100027,0.00702244906088056,0.00617896323857936,0.0171186389282585,0.041445189999042,missense|LC,22021693744,22,21693744,
UGT1A8,ENSG00000242366,0.00708896857429997,0.00445591367679388,0.0409011523005391,-0.00615235796527768,missense|LC,2233617551,2,233617551,
AC019117.3,ENSG00000283321,0.00709130485469089,0.00841829392156612,0.00904667925242553,0.00499776821631423,missense|LC,7017299165,7,17299165,
EFNA3,ENSG00000143590,0.00716329016697825,0.289837369535358,0.00356077841814917,-0.00640467700294741,missense|LC,1155078766,1,155078766,
THUMPD2,ENSG00000138050,0.00719569851117174,0.0038279847856002,0.183946936527486,0.00834905318625826,missense|LC,2039736656,2,39736656,
IFT22,ENSG00000128581,0.00721825593968883,0.25201412017823,0.00427692513493438,-0.00566297409750735,missense|LC,7101315043,7,101315043,
SEPTIN3,ENSG00000100167,0.00724791100092737,0.00348770194516002,0.678797637350287,-0.018602619655469,missense|LC,22041976973,22,41976973,
MTMR7,ENSG00000003987,0.00730582813651781,0.489393610199527,0.00382016045447253,-0.00127546248975736,missense|LC,8017299734,8,17299734,
ANKRD30BL,ENSG00000163046,0.00735422529663821,0.0617539155297704,0.00396114651318924,0.0155653835691884,missense|LC,2132148079,2,132148079,
DEFB135,ENSG00000205883,0.00749622816490469,0.436420323032458,0.00462863668451374,-0.00379391556449536,missense|LC,8011982232,8,11982232,
FBXW5,ENSG00000159069,0.00750055692235418,0.0036663849044547,0.13588031147851,0.00369963295525712,missense|LC,9136940787,9,136940787,
ZNF703,ENSG00000183779,0.00751663349323939,0.0172771698118482,0.00799925405421731,0.006362534798355,missense|LC,8037695887,8,37695887,
TIFAB,ENSG00000255833,0.00752608212526529,0.00378188689177505,0.167924583168854,-0.0110175787184727,missense|LC,5135446262,5,135446262,
H1-8,ENSG00000178804,0.00753452099956819,0.667753911887252,0.0047362567229462,0.00107948488368111,missense|LC,3129543173,3,129543173,
FLRT3,ENSG00000125848,0.00757598780667446,0.709407123911142,0.00372820001480045,0.0015182629997178,missense|LC,20014325473,20,14325473,
CNTN1,ENSG00000018236,0.00763219263431969,0.00381390137930748,0.261672395851398,-0.00945532880509679,missense|LC,12040908394,12,40908394,
HCN3,ENSG00000143630,0.00766126277672619,0.0159311334566762,0.0073569528626003,0.00448152878518615,missense|LC,1155277472,1,155277472,
DLG1,ENSG00000075711,0.00767484605264612,0.00687709065171227,0.0179964098315133,0.00653217364692939,missense|LC,3197044590,3,197044590,
